feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169,feature_170,feature_171,feature_172,feature_173,feature_174,feature_175,feature_176,feature_177,feature_178,feature_179,feature_180,feature_181,feature_182,feature_183,feature_184,feature_185,feature_186,feature_187,label
0.183964,0.504773,0.754210,0.664416,0.688444,0.759962,0.021083,0.084162,0.947710,0.460484,0.584618,0.271991,0.941292,0.581647,0.462806,0.938548,0.045725,0.510301,0.564790,0.870663,0.832189,0.900820,0.075995,0.291352,0.559978,0.082946,0.596903,0.230041,0.042423,0.656842,0.249822,0.536449,0.095062,0.660014,0.591891,0.104697,0.958416,0.941916,0.118479,0.476301,0.987924,0.501380,0.858660,0.932128,0.323027,0.344216,0.287773,0.097614,0.115003,0.089070,0.549030,0.121202,0.134072,0.598214,0.163640,0.876593,0.006064,0.819405,0.140769,0.002722,0.451931,0.534515,0.370987,0.102568,0.940822,0.126296,0.140836,0.270810,0.409575,0.710925,0.772561,0.247042,0.559513,0.345235,0.401882,0.058824,0.739911,0.671713,0.503637,0.317673,0.471058,0.320209,0.402171,0.406239,0.915130,0.727457,0.962626,0.152534,0.345444,0.911292,0.426566,0.321070,0.407525,0.800023,0.663112,0.668060,0.425208,0.559393,0.201309,0.652444,0.193818,0.732894,0.001572,0.806865,0.181085,0.570759,0.247443,0.599140,0.035510,0.305010,0.844036,0.554149,0.422079,0.466766,0.975404,0.641324,0.161941,0.721757,0.184666,0.170002,0.272314,0.454726,0.789953,0.914590,0.869794,0.864639,0.224336,0.891809,0.193628,0.154726,0.186635,0.461926,0.484388,0.349785,0.642235,0.531572,0.725771,0.065542,0.571923,0.567802,0.769401,0.428307,0.853372,0.093799,0.449175,0.223691,0.328242,0.460302,0.805684,0.635618,0.874895,0.376879,0.102953,0.414539,0.279117,0.315156,0.975845,0.306705,0.232331,0.728077,0.483092,0.874667,0.331832,0.995075,0.165405,0.272725,0.769001,0.217790,0.286607,0.639546,0.680956,0.140111,0.371075,0.305030,0.964848,0.715834,0.773939,0.599007,0.402038,0.306874,0.941583,0.368498,0.977075,0.617336,0.187598,0.297494,0.240265,0.221734,1.000000
0.880449,0.017277,0.413708,0.241664,0.987690,0.676937,0.803599,0.579288,0.225574,0.166877,0.904255,0.944242,0.580734,0.117263,0.636689,0.901545,0.785012,0.330822,0.902702,0.768571,0.347583,0.573592,0.971540,0.037180,0.700821,0.549658,0.583304,0.391464,0.567732,0.033158,0.620142,0.740830,0.719369,0.926316,0.553885,0.286984,0.363827,0.825138,0.364907,0.847480,0.914012,0.135502,0.392624,0.593979,0.484046,0.104263,0.344034,0.437536,0.930152,0.031705,0.315116,0.044547,0.730828,0.719930,0.026545,0.780439,0.007932,0.253766,0.454424,0.607707,0.688444,0.539173,0.974799,0.954052,0.174484,0.259903,0.410996,0.355364,0.242966,0.110274,0.170017,0.624369,0.616813,0.565035,0.170638,0.916779,0.088651,0.871526,0.120097,0.018515,0.301493,0.161545,0.648873,0.795631,0.429518,0.161837,0.449920,0.793673,0.512938,0.638217,0.980662,0.422390,0.282903,0.254259,0.621828,0.614461,0.085595,0.009801,0.678824,0.105186,0.034960,0.020489,0.228266,0.629800,0.291045,0.541794,0.773065,0.853492,0.473993,0.287383,0.807186,0.335801,0.514461,0.303116,0.427889,0.959589,0.078609,0.040970,0.461311,0.992766,0.119872,0.989075,0.395200,0.653726,0.970536,0.430344,0.558242,0.636400,0.301117,0.959660,0.439265,0.208151,0.016538,0.248049,0.845597,0.164629,0.872401,0.267215,0.067490,0.446091,0.751576,0.081795,0.207476,0.111908,0.760746,0.460112,0.767850,0.907033,0.219811,0.155420,0.860722,0.135367,0.417116,0.174457,0.786765,0.714273,0.063104,0.043078,0.242792,0.700137,0.514681,0.089091,0.313832,0.734875,0.357620,0.384453,0.197906,0.229828,0.270185,0.857909,0.092699,0.046803,0.020700,0.871225,0.888758,0.090040,0.470217,0.812338,0.709932,0.090120,0.591041,0.401243,0.891059,0.141683,0.560567,0.872548,0.530519,0.520259,1.000000
0.451650,0.489690,0.489407,0.270885,0.421933,0.535619,0.598588,0.467770,0.462466,0.446790,0.616244,0.559560,0.503646,0.527381,0.615413,0.653209,0.385064,0.478217,0.525425,0.487819,0.546176,0.581649,0.642415,0.407090,0.293136,0.463312,0.494597,0.402866,0.419516,0.506458,0.371896,0.499340,0.506625,0.702666,0.546957,0.533525,0.553451,0.481199,0.378777,0.626279,0.673302,0.435999,0.710149,0.507895,0.588014,0.459993,0.617810,0.525674,0.536896,0.490023,0.689440,0.542363,0.566882,0.558321,0.423451,0.571679,0.386854,0.384511,0.355073,0.588647,0.635660,0.381430,0.638962,0.443003,0.510349,0.520630,0.441885,0.733303,0.285195,0.711493,0.448784,0.337295,0.729318,0.600916,0.571289,0.617911,0.345475,0.367696,0.487851,0.481122,0.660955,0.613521,0.497671,0.445881,0.385082,0.340503,0.577730,0.352200,0.376161,0.592281,0.552054,0.504680,0.409763,0.507057,0.385569,0.552828,0.274196,0.437126,0.648160,0.471122,0.483194,0.476244,0.579997,0.570282,0.552330,0.421322,0.410979,0.783966,0.485138,0.439143,0.708584,0.508745,0.455357,0.319145,0.578450,0.496382,0.552048,0.487291,0.678226,0.456404,0.482560,0.434177,0.293648,0.512310,0.564917,0.362607,0.547569,0.547708,0.592881,0.588334,0.540445,0.644570,0.532926,0.578529,0.379004,0.538181,0.450067,0.391816,0.397877,0.548186,0.324308,0.321713,0.505347,0.512245,0.584244,0.569173,0.849882,0.418951,0.427220,0.498778,0.582754,0.606756,0.415190,0.442830,0.434679,0.555535,0.481819,0.580787,0.512791,0.528763,0.440852,0.630222,0.483922,0.284655,0.481883,0.727566,0.417875,0.524770,0.563751,0.366496,0.618763,0.383685,0.704217,0.520580,0.615051,0.330926,0.401747,0.258066,0.562716,0.471105,0.641205,0.506049,0.606598,0.402730,0.478280,0.585807,0.440978,0.751334,0.000000
0.637514,0.710344,0.239110,0.503032,0.240698,0.454431,0.243940,0.496525,0.823845,0.144130,0.438176,0.496144,0.070869,0.612744,0.141714,0.907589,0.792846,0.709793,0.298648,0.894107,0.252077,0.494382,0.450290,0.531884,0.675752,0.656697,0.185360,0.164495,0.185335,0.580744,0.628823,0.851683,0.007303,0.891455,0.008882,0.181116,0.848110,0.539137,0.568496,0.442529,0.963822,0.473463,0.661471,0.430757,0.147672,0.064270,0.669951,0.499779,0.956732,0.740279,0.048813,0.243512,0.373832,0.850567,0.325960,0.605237,0.185725,0.238405,0.643125,0.665275,0.409339,0.794474,0.355781,0.500786,0.687696,0.050490,0.062093,0.903274,0.454880,0.857048,0.616373,0.783302,0.020152,0.184132,0.066782,0.073581,0.614268,0.340219,0.111121,0.918773,0.165039,0.891059,0.727090,0.401960,0.684065,0.038705,0.605521,0.074875,0.617399,0.429851,0.359884,0.587819,0.370330,0.891985,0.674808,0.985802,0.685273,0.418042,0.535050,0.171632,0.509297,0.661562,0.313570,0.720161,0.034330,0.547044,0.667486,0.998439,0.464916,0.510223,0.987086,0.872987,0.346175,0.226536,0.796768,0.243923,0.747032,0.374527,0.834532,0.371277,0.028971,0.747285,0.089327,0.791095,0.118825,0.166025,0.267493,0.610773,0.635436,0.046983,0.680757,0.040294,0.020532,0.321146,0.346693,0.745023,0.669015,0.433256,0.687173,0.033463,0.329376,0.423770,0.786091,0.389098,0.842296,0.008576,0.269979,0.642836,0.763221,0.963850,0.483537,0.070520,0.754929,0.825298,0.660457,0.042062,0.646043,0.438556,0.199108,0.516303,0.988804,0.623154,0.555478,0.849945,0.695829,0.015066,0.534661,0.392864,0.057169,0.534391,0.397673,0.509838,0.750495,0.758655,0.331413,0.079467,0.556355,0.175534,0.684253,0.870770,0.339813,0.526094,0.695917,0.728552,0.365762,0.345492,0.056485,0.114219,1.000000
0.313115,0.550123,0.497540,0.602205,0.474287,0.311870,0.584459,0.477197,0.427987,0.427073,0.449546,0.715750,0.589154,0.612898,0.703854,0.687518,0.521006,0.575471,0.452465,0.453558,0.398848,0.570460,0.305734,0.497650,0.745423,0.563901,0.513573,0.298112,0.402792,0.495537,0.501910,0.532289,0.480284,0.548405,0.618634,0.545654,0.665093,0.466814,0.569246,0.513966,0.601247,0.450543,0.525966,0.619822,0.560931,0.462390,0.443232,0.444803,0.549422,0.578604,0.647287,0.372259,0.598795,0.495702,0.710709,0.513860,0.376940,0.607111,0.473743,0.448471,0.477418,0.494078,0.589040,0.611783,0.513943,0.379598,0.564272,0.515970,0.424216,0.307365,0.494059,0.551582,0.460605,0.313475,0.670439,0.481202,0.318352,0.561836,0.423416,0.429946,0.430925,0.413115,0.670864,0.326438,0.402559,0.538672,0.547087,0.568802,0.443201,0.537566,0.653059,0.377108,0.348249,0.587169,0.645110,0.475212,0.578846,0.502804,0.624507,0.664024,0.424284,0.685265,0.409376,0.422856,0.664158,0.405008,0.517164,0.483465,0.483923,0.423800,0.524275,0.587673,0.546036,0.589463,0.499066,0.275748,0.362409,0.559698,0.342354,0.566719,0.477819,0.541670,0.650985,0.416620,0.593661,0.639389,0.583809,0.374589,0.586765,0.407196,0.558715,0.517811,0.484804,0.416486,0.505447,0.579916,0.467609,0.402944,0.536479,0.475148,0.625196,0.585271,0.396073,0.468106,0.641607,0.468737,0.491321,0.632250,0.542123,0.560002,0.376634,0.478087,0.411174,0.451665,0.482998,0.569006,0.469864,0.325056,0.528770,0.667530,0.417162,0.493791,0.490359,0.484806,0.688179,0.599976,0.500092,0.563355,0.656689,0.591407,0.593461,0.576333,0.562446,0.498051,0.452645,0.512068,0.572340,0.366605,0.562143,0.505860,0.310519,0.422415,0.391680,0.495758,0.408024,0.429089,0.655461,0.466403,0.000000
0.514184,0.405165,0.364678,0.562234,0.592813,0.517801,0.321345,0.937471,0.972652,0.112928,0.838176,0.602369,0.642560,0.075771,0.187470,0.837341,0.050420,0.389862,0.616292,0.804571,0.911118,0.882366,0.522171,0.713834,0.879404,0.592472,0.024031,0.984176,0.470493,0.365758,0.041594,0.359669,0.303694,0.801310,0.229995,0.120756,0.396786,0.068830,0.557643,0.581488,0.845864,0.767092,0.414331,0.185863,0.779594,0.275092,0.458059,0.239953,0.284468,0.788296,0.364808,0.200910,0.857027,0.020290,0.426570,0.826966,0.893299,0.374433,0.638606,0.235980,0.289118,0.994918,0.652003,0.757160,0.850243,0.028155,0.596078,0.740073,0.965883,0.400730,0.801399,0.487307,0.232002,0.778047,0.625874,0.051455,0.080053,0.874568,0.776822,0.721936,0.949277,0.714092,0.708612,0.868033,0.640383,0.796727,0.188949,0.551691,0.547408,0.927363,0.873337,0.722547,0.202027,0.447675,0.834468,0.003838,0.070843,0.272093,0.324242,0.439826,0.148373,0.371200,0.456122,0.424474,0.162102,0.800704,0.608775,0.941648,0.026873,0.074244,0.878277,0.851861,0.601373,0.800299,0.093622,0.090720,0.634488,0.068328,0.158153,0.255513,0.592310,0.059040,0.754726,0.154576,0.109665,0.767414,0.698253,0.512669,0.842570,0.753286,0.883372,0.106360,0.525650,0.130603,0.463909,0.165768,0.675292,0.901076,0.793762,0.149363,0.351102,0.447650,0.772615,0.050622,0.668113,0.768650,0.251384,0.875438,0.955417,0.024477,0.900119,0.540670,0.756908,0.516633,0.907323,0.069465,0.606604,0.685712,0.802642,0.225907,0.099107,0.514343,0.743545,0.305246,0.243193,0.028948,0.672017,0.507828,0.322332,0.499826,0.105598,0.046200,0.876875,0.547743,0.582823,0.519752,0.782356,0.303820,0.724948,0.842036,0.985524,0.966084,0.100671,0.038160,0.458121,0.690980,0.725509,0.330286,1.000000
0.055576,0.260658,0.028725,0.769348,0.818966,0.766152,0.035223,0.327808,0.636346,0.429163,0.760336,0.533069,0.253845,0.669166,0.865617,0.428965,0.089221,0.763384,0.422467,0.239023,0.143714,0.243860,0.260669,0.555659,0.981312,0.788305,0.760563,0.458829,0.712925,0.932034,0.255032,0.210054,0.495490,0.039227,0.022683,0.751351,0.721194,0.639284,0.192182,0.585505,0.725926,0.812399,0.592867,0.260466,0.256454,0.105987,0.821595,0.554250,0.861938,0.787382,0.488706,0.082794,0.496542,0.941250,0.851974,0.673077,0.484773,0.014984,0.945655,0.518371,0.539452,0.467665,0.341516,0.936970,0.387541,0.373414,0.858788,0.015456,0.922883,0.627303,0.271573,0.755857,0.751142,0.237686,0.641800,0.369359,0.168949,0.329679,0.296373,0.217381,0.543319,0.543093,0.864436,0.531525,0.343481,0.271889,0.712632,0.814563,0.612371,0.959534,0.948807,0.291729,0.725167,0.168373,0.002494,0.451787,0.938420,0.092256,0.274023,0.226026,0.856137,0.147511,0.843416,0.198607,0.514273,0.672945,0.911753,0.897558,0.860348,0.414102,0.828703,0.635196,0.975760,0.677341,0.985817,0.228313,0.549968,0.491140,0.893295,0.839669,0.920735,0.705694,0.748371,0.393875,0.798482,0.976748,0.625847,0.795654,0.172716,0.033996,0.458596,0.639632,0.491579,0.549686,0.470643,0.127094,0.422237,0.434381,0.398415,0.679848,0.640079,0.285689,0.686003,0.961995,0.199206,0.359897,0.096852,0.253615,0.145824,0.137517,0.712299,0.818116,0.286787,0.292667,0.926175,0.905893,0.245087,0.361784,0.725548,0.161915,0.163916,0.618582,0.815853,0.126010,0.695015,0.375394,0.108073,0.119097,0.424023,0.759583,0.608305,0.429668,0.898883,0.970230,0.793034,0.804865,0.603968,0.439050,0.425753,0.032806,0.036911,0.189754,0.644563,0.810149,0.386063,0.207735,0.378809,0.036958,1.000000
0.505912,0.591859,0.594847,0.545304,0.559827,0.539082,0.563329,0.516247,0.521132,0.554830,0.407532,0.496688,0.581706,0.466439,0.473836,0.389825,0.414644,0.690210,0.479393,0.676110,0.331922,0.490040,0.529077,0.402792,0.683341,0.408343,0.612935,0.324404,0.523060,0.512171,0.705944,0.422942,0.646426,0.551111,0.625899,0.359871,0.473584,0.410527,0.425769,0.560677,0.566808,0.452268,0.359530,0.654602,0.467824,0.494841,0.534750,0.486306,0.375980,0.308088,0.388540,0.394431,0.453566,0.441087,0.607513,0.579927,0.397222,0.611536,0.432603,0.493407,0.464610,0.537485,0.513780,0.570884,0.531768,0.391518,0.500237,0.340176,0.469104,0.615550,0.537426,0.657584,0.558416,0.618168,0.633729,0.463068,0.552012,0.409228,0.602786,0.499599,0.455802,0.448936,0.567211,0.402499,0.550021,0.571751,0.460979,0.490354,0.546839,0.382198,0.563233,0.484741,0.758579,0.692460,0.422141,0.386166,0.496190,0.535442,0.570834,0.559244,0.524463,0.604052,0.642672,0.645527,0.352246,0.445509,0.323834,0.642918,0.486931,0.723234,0.357405,0.380910,0.617546,0.348675,0.442137,0.547333,0.456157,0.476806,0.561679,0.523350,0.336854,0.549941,0.638017,0.539338,0.340245,0.574499,0.476326,0.451250,0.434034,0.235151,0.627781,0.417196,0.558118,0.670417,0.558090,0.295103,0.427538,0.347212,0.525774,0.480528,0.604219,0.539185,0.385333,0.521122,0.640768,0.447190,0.453144,0.382113,0.580090,0.405372,0.643370,0.426936,0.272782,0.566509,0.510820,0.340455,0.527283,0.675498,0.520256,0.505758,0.444855,0.613898,0.407737,0.557337,0.533378,0.683962,0.451023,0.506681,0.335218,0.676325,0.407153,0.510245,0.390534,0.364309,0.481880,0.690006,0.283750,0.659671,0.584275,0.460833,0.644686,0.548536,0.572643,0.561013,0.644230,0.349438,0.513184,0.505128,0.000000
0.727532,0.570533,0.139420,0.877588,0.658669,0.956537,0.303255,0.091246,0.292453,0.043647,0.243124,0.689033,0.601608,0.187626,0.402713,0.133824,0.824288,0.105158,0.402590,0.755007,0.771029,0.521646,0.844762,0.895309,0.673531,0.229600,0.832939,0.498366,0.019290,0.165879,0.815785,0.687186,0.271162,0.003532,0.001946,0.684820,0.265151,0.718014,0.267306,0.602480,0.407517,0.486637,0.603989,0.951033,0.000717,0.967752,0.192310,0.479602,0.727762,0.539930,0.488237,0.946614,0.302126,0.092263,0.541769,0.348967,0.511931,0.500725,0.454126,0.908378,0.822532,0.869591,0.460090,0.060212,0.804912,0.704382,0.895971,0.873761,0.039138,0.106754,0.338675,0.706227,0.319497,0.669676,0.860426,0.034154,0.718778,0.433836,0.783782,0.872663,0.375327,0.713802,0.301247,0.383700,0.653535,0.528232,0.990317,0.300949,0.212256,0.317075,0.036450,0.219547,0.363314,0.853445,0.137829,0.263479,0.036799,0.312403,0.862357,0.248951,0.072443,0.931902,0.949458,0.181750,0.663250,0.510024,0.402977,0.344656,0.337117,0.390408,0.442341,0.960144,0.556499,0.073259,0.129352,0.188704,0.084279,0.181549,0.078448,0.953888,0.321897,0.456050,0.376778,0.260814,0.853990,0.269652,0.209743,0.791221,0.935104,0.660599,0.532352,0.556130,0.810695,0.072618,0.722460,0.740705,0.911907,0.873934,0.450127,0.787326,0.919028,0.918295,0.634467,0.967838,0.349438,0.808470,0.206541,0.935618,0.839753,0.731111,0.056203,0.805292,0.696041,0.033889,0.300507,0.175874,0.844871,0.265396,0.851571,0.107028,0.346662,0.444794,0.513249,0.412327,0.786956,0.679788,0.217785,0.281848,0.173492,0.437418,0.951951,0.446571,0.368171,0.054241,0.730305,0.644898,0.788317,0.377782,0.471241,0.718620,0.905439,0.406495,0.397466,0.510550,0.402004,0.470465,0.492509,0.952885,1.000000
0.784810,0.079177,0.534144,0.205465,0.790442,0.856677,0.277407,0.091645,0.755920,0.864210,0.645549,0.848132,0.760869,0.577034,0.328018,0.555558,0.127929,0.719031,0.253555,0.180855,0.531645,0.562012,0.932745,0.737522,0.932320,0.380294,0.372530,0.060444,0.609845,0.097140,0.193387,0.703129,0.644821,0.352401,0.511219,0.095483,0.669522,0.612360,0.604971,0.387942,0.589809,0.440319,0.873921,0.568565,0.504697,0.238828,0.802563,0.752150,0.400388,0.813096,0.832197,0.795513,0.524467,0.445582,0.522637,0.252177,0.916639,0.854670,0.232357,0.404524,0.193713,0.367197,0.343193,0.059358,0.249602,0.247598,0.336213,0.966832,0.670961,0.755575,0.586893,0.785115,0.090431,0.013220,0.382696,0.709801,0.707574,0.083650,0.181045,0.635938,0.222853,0.129443,0.335124,0.852734,0.379728,0.790441,0.983780,0.140324,0.806125,0.243039,0.379925,0.242387,0.880420,0.377696,0.776893,0.471112,0.843146,0.550501,0.096787,0.092732,0.076209,0.348434,0.573821,0.523732,0.834795,0.320295,0.741065,0.136227,0.380361,0.389276,0.051964,0.061805,0.423291,0.876454,0.587598,0.873493,0.415353,0.957502,0.297615,0.946161,0.266178,0.326098,0.732792,0.694632,0.302840,0.547722,0.375225,0.278002,0.793685,0.150720,0.886308,0.856280,0.211607,0.164793,0.644709,0.221555,0.491691,0.508779,0.839353,0.477874,0.457677,0.396280,0.211037,0.881554,0.141135,0.030013,0.876081,0.087635,0.652969,0.936079,0.834501,0.632686,0.048070,0.038377,0.661967,0.428758,0.946279,0.850682,0.263626,0.473724,0.951341,0.121999,0.621308,0.093885,0.289867,0.918007,0.984216,0.144113,0.204565,0.597156,0.961610,0.815030,0.724629,0.451337,0.895497,0.371904,0.778011,0.481643,0.917920,0.056144,0.323043,0.924048,0.487519,0.043767,0.813238,0.311225,0.923083,0.968854,1.000000
